Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer (1-4)
"Que se passe-t-il quand on allume une lampe ?","Elle fait de la lumière","Elle fait du bruit","Elle devient froide","Elle change de couleur",1
"Quel objet nous donne de la lumière pendant la journée ?","La lune","Le soleil","Les étoiles","Les nuages",2
"Que fait le son quand on tape sur un tambour ?","Il devient invisible","Il voyage dans l'air","Il disparaît","Il change de couleur",2
"Lequel de ces objets flotte sur l'eau ?","Une pierre","Un morceau de bois","Une pièce de monnaie","Un clou",2
"Que se passe-t-il quand on met de la glace au soleil ?","Elle devient plus dure","Elle fond","Elle grandit","Elle change de couleur",2
"Quel est l'état de l'eau dans un verre ?","Solide","Liquide","Gazeux","Dur",2
"Que fait un aimant avec un objet en fer ?","Il le repousse","Il l'attire","Il le casse","Il le colore",2
"Quand il fait très froid dehors, que devient l'eau ?","De la glace","Du sable","De la fumée","Du vent",1
"Quel objet peut nous protéger de la pluie ?","Un parapluie","Une cuillère","Un crayon","Une gomme",1
"Que fait l'ombre quand le soleil bouge ?","Elle reste immobile","Elle bouge aussi","Elle disparaît","Elle devient rouge",2
"Lequel de ces objets est transparent ?","Le bois","Le métal","Le verre","La pierre",3
"Que se passe-t-il quand on souffle sur une bougie allumée ?","Elle brûle plus fort","Elle s'éteint","Elle change de couleur","Elle grandit",2
"Quel objet peut faire du bruit quand on le secoue ?","Un livre","Un hochet","Une éponge","Un coussin",2
"Comment appelle-t-on l'eau qui tombe du ciel ?","La neige","La pluie","Le vent","Le soleil",2
"Que faut-il pour voir dans le noir ?","De la lumière","Du silence","Du froid","De la couleur",1
"Lequel de ces objets est le plus lourd ?","Une plume","Une balle de ping-pong","Une pierre","Une bulle de savon",3
"Que se passe-t-il quand on mélange de l'eau chaude et froide ?","L'eau devient tiède","L'eau disparaît","L'eau devient rouge","L'eau devient dure",1
"Quel objet peut nous aider à voir les objets plus gros ?","Une loupe","Un marteau","Une cuillère","Un crayon",1
"Que fait le vent avec les feuilles des arbres ?","Il les colore","Il les fait bouger","Il les rend lourdes","Il les rend chaudes",2
"Lequel de ces objets conduit l'électricité ?","Le plastique","Le bois","Le métal","Le papier",3 